id_cliente,campaña,tipo_campaña,mes,año,respuesta_real,respuesta_predicha,probabilidad_compra,respuesta_real_texto,respuesta_predicha_texto,resultado_clasificacion
1,Black Friday,Digital,Noviembre,2025,0,0,0.375399,No compró,No comprará,Verdadero negativo
1,Campaña Escolar,Escolar,Febrero,2025,0,0,0.360624,No compró,No comprará,Verdadero negativo
1,Campaña Escolar,Escolar,Marzo,2025,1,0,0.432359,Compró,No comprará,Falso negativo
1,Cyber Wow Abril,Digital,Abril,2025,0,0,0.239304,No compró,No comprará,Verdadero negativo
1,Cyber Wow Julio,Digital,Julio,2025,0,0,0.288276,No compró,No comprará,Verdadero negativo
1,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.203291,No compró,No comprará,Verdadero negativo
1,Día de la Madre,Familiar,Mayo,2025,1,0,0.309355,Compró,No comprará,Falso negativo
1,Día del Padre,Familiar,Junio,2025,0,0,0.287132,No compró,No comprará,Verdadero negativo
1,Fiestas Patrias,Festiva,Julio,2025,1,0,0.484159,Compró,No comprará,Falso negativo
1,Navidad,Festiva,Diciembre,2025,0,1,0.772997,No compró,Comprará,Falso positivo
2,Black Friday,Digital,Noviembre,2025,0,0,0.170091,No compró,No comprará,Verdadero negativo
2,Campaña Escolar,Escolar,Febrero,2025,0,0,0.287879,No compró,No comprará,Verdadero negativo
2,Campaña Escolar,Escolar,Marzo,2025,0,0,0.315971,No compró,No comprará,Verdadero negativo
2,Cyber Wow Abril,Digital,Abril,2025,0,0,0.126934,No compró,No comprará,Verdadero negativo
2,Cyber Wow Julio,Digital,Julio,2025,0,0,0.150052,No compró,No comprará,Verdadero negativo
2,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.106421,No compró,No comprará,Verdadero negativo
2,Día de la Madre,Familiar,Mayo,2025,0,0,0.187596,No compró,No comprará,Verdadero negativo
2,Día del Padre,Familiar,Junio,2025,0,0,0.174005,No compró,No comprará,Verdadero negativo
2,Fiestas Patrias,Festiva,Julio,2025,0,0,0.312446,No compró,No comprará,Verdadero negativo
2,Navidad,Festiva,Diciembre,2025,0,1,0.532064,No compró,Comprará,Falso positivo
3,Black Friday,Digital,Noviembre,2025,0,0,0.189273,No compró,No comprará,Verdadero negativo
3,Campaña Escolar,Escolar,Febrero,2025,0,0,0.286614,No compró,No comprará,Verdadero negativo
3,Campaña Escolar,Escolar,Marzo,2025,0,0,0.312625,No compró,No comprará,Verdadero negativo
3,Cyber Wow Abril,Digital,Abril,2025,0,0,0.157716,No compró,No comprará,Verdadero negativo
3,Cyber Wow Julio,Digital,Julio,2025,0,0,0.215636,No compró,No comprará,Verdadero negativo
3,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.145921,No compró,No comprará,Verdadero negativo
3,Día de la Madre,Familiar,Mayo,2025,0,0,0.216808,No compró,No comprará,Verdadero negativo
3,Día del Padre,Familiar,Junio,2025,0,0,0.251226,No compró,No comprará,Verdadero negativo
3,Fiestas Patrias,Festiva,Julio,2025,0,0,0.372711,No compró,No comprará,Verdadero negativo
3,Navidad,Festiva,Diciembre,2025,0,1,0.577026,No compró,Comprará,Falso positivo
4,Black Friday,Digital,Noviembre,2025,0,0,0.387982,No compró,No comprará,Verdadero negativo
4,Campaña Escolar,Escolar,Febrero,2025,0,0,0.346502,No compró,No comprará,Verdadero negativo
