variable_original,importancia,importancia_porcentaje
demanda_misma_campaña_año_anterior,0.6397759763977342,63.97759763977344
categoria,0.06672596552111101,6.672596552111104
campaña,0.054564322209351986,5.4564322209352
descuento_promedio_misma_campaña_año_anterior,0.05330379385038183,5.330379385038185
mes,0.04228460784334282,4.228460784334284
subcategoria,0.030857179673742335,3.0857179673742343
tipo_campaña,0.029300251736446892,2.9300251736446903
canal,0.028621874097154873,2.8621874097154882
demanda_mes_anterior,0.023539386223488508,2.3539386223488514
descuento_promedio_mes_anterior,0.02224737296334428,2.2247372963344287
marca,0.007312320808152381,0.7312320808152384
nombre,0.0014669486757486166,0.1466948675748617
