variable,importancia,importancia_porcentaje,variable_original
demanda_misma_campaña_año_anterior,0.6397759763977342,63.97759763977342,demanda_misma_campaña_año_anterior
descuento_promedio_misma_campaña_año_anterior,0.05330379385038183,5.330379385038183,descuento_promedio_misma_campaña_año_anterior
campaña_Navidad,0.04181105285350194,4.181105285350194,campaña
mes_Diciembre,0.03262774454082833,3.2627744540828325,mes
categoria_Juguetería,0.029904915868046698,2.9904915868046698,categoria
demanda_mes_anterior,0.023539386223488508,2.353938622348851,demanda_mes_anterior
descuento_promedio_mes_anterior,0.02224737296334428,2.2247372963344283,descuento_promedio_mes_anterior
canal_Tienda,0.019893074671920714,1.9893074671920714,canal
tipo_campaña_Festiva,0.01675218962857073,1.675218962857073,tipo_campaña
categoria_Escolar y Oficina,0.009447590412806975,0.9447590412806974,categoria
categoria_Abarrotes,0.006641879670310174,0.6641879670310175,categoria
canal_Web,0.0046652693327930575,0.4665269332793058,canal
tipo_campaña_Regular,0.0045666466071373184,0.45666466071373185,tipo_campaña
campaña_Normal,0.004521827835384059,0.45218278353840585,campaña
categoria_Bebidas,0.004397486348797118,0.4397486348797118,categoria
canal_App,0.004063530092441102,0.40635300924411016,canal
categoria_Tecnología y Cómputo,0.003660284273656244,0.3660284273656244,categoria
categoria_Hogar,0.0034719746205713704,0.34719746205713703,categoria
tipo_campaña_Escolar,0.003183691913687783,0.31836919136877834,tipo_campaña
subcategoria_Decoración,0.002906045734837254,0.29060457348372537,subcategoria
tipo_campaña_Familiar,0.0027507176504839655,0.27507176504839653,tipo_campaña
campaña_Campaña Escolar,0.002689725313009726,0.2689725313009726,campaña
campaña_Fiestas Patrias,0.0025824688806129147,0.2582468880612915,campaña
categoria_Moda,0.002395654573155712,0.2395654573155712,categoria
mes_Marzo,0.0023932198699105366,0.23932198699105367,mes
categoria_Limpieza,0.0021680493865393986,0.21680493865393985,categoria
tipo_campaña_Digital,0.0020470059365670958,0.20470059365670956,tipo_campaña
subcategoria_Gaseosas,0.0019321372730327188,0.19321372730327188,subcategoria
subcategoria_Vajilla,0.0018763805840784353,0.18763805840784353,subcategoria
categoria_Cuidado Personal,0.0017339487212386926,0.17339487212386925,categoria
categoria_Electrohogar,0.0016833755455941295,0.16833755455941296,categoria
subcategoria_Jugos,0.001390124457161076,0.1390124457161076,subcategoria
categoria_Calzado,0.0012208061003945016,0.12208061003945016,categoria
subcategoria_Mochilas,0.0012175818157743518,0.12175818157743519,subcategoria
mes_Junio,0.001183178007092857,0.11831780070928569,mes
subcategoria_Aceite,0.0011756303196175605,0.11756303196175605,subcategoria
mes_Julio,0.0011586185304297582,0.11586185304297582,mes
campaña_Black Friday,0.0011033277579459502,0.11033277579459502,campaña
mes_Mayo,0.0010469396896826048,0.10469396896826048,mes
subcategoria_Calzado Deportivo,0.0008999097215567676,0.08999097215567677,subcategoria
subcategoria_Zapatillas,0.0008993602671991804,0.08993602671991804,subcategoria
subcategoria_Organizadores,0.0008951220887341043,0.08951220887341044,subcategoria
subcategoria_Polos,0.0008790400236760308,0.08790400236760308,subcategoria
subcategoria_Harinas,0.0007939849148159347,0.07939849148159346,subcategoria
subcategoria_Arroz,0.0007876667992527558,0.07876667992527558,subcategoria
mes_Noviembre,0.0007215845941095203,0.07215845941095203,mes
mes_Febrero,0.0007095599906752973,0.07095599906752974,mes
campaña_Día de la Madre,0.0005981323702963162,0.05981323702963162,campaña
subcategoria_Peluches,0.0005932338648963311,0.059323386489633104,subcategoria
subcategoria_Smartphones,0.0005880988105074977,0.058809881050749774,subcategoria
