variable,impacto_SHAP_promedio,importancia_porcentaje
demanda_misma_campaña_año_anterior,1.960694119736138,36.29448038683434
canal,0.7258886428540202,13.436951152093288
descuento_promedio_misma_campaña_año_anterior,0.6271188790309038,11.608620450324882
campaña,0.4626518184428465,8.56416469115891
tipo_campaña,0.4368852700797827,8.087199174311493
categoria,0.4357824398710627,8.066784644080851
mes,0.3327881918883924,6.160254361903619
subcategoria,0.17929543767319905,3.318944388405951
demanda_mes_anterior,0.1216097266046175,2.251122086138332
descuento_promedio_mes_anterior,0.0627152804732297,1.160924845022116
marca,0.0363619079978043,0.6730966056203543
nombre,0.020390928104258757,0.37745721410587246
