nombre,canal,campaña,año,mes,demanda_real,prediccion_random_forest,error_absoluto
Gaseosas Pukara 158,Web,Normal,2025,Junio,6.0,3.3009929106391644,2.6990070893608356
Gaseosas Pukara 158,Web,Normal,2025,Abril,5.0,3.4992264539722,1.5007735460278
Gaseosas Pukara 158,Web,Campaña Escolar,2025,Febrero,1.0,2.106316602459914,1.106316602459914
Gaseosas Pukara 158,Web,Navidad,2025,Diciembre,40.0,31.54027252048994,8.459727479510061
Gaseosas Pukara 158,Web,Normal,2025,Mayo,0.0,2.2393021127457904,2.2393021127457904
Gaseosas Pukara 158,Web,Día de la Madre,2025,Mayo,8.0,1.4941289599752137,6.505871040024786
Gaseosas Pukara 158,Web,Cyber Wow Abril,2025,Abril,3.0,1.2284926991845873,1.7715073008154127
Gaseosas Pukara 158,Web,Normal,2025,Agosto,22.0,4.276089048816822,17.72391095118318
Gaseosas Pukara 158,Web,Fiestas Patrias,2025,Julio,34.0,36.85258704563586,2.8525870456358575
Gaseosas Pukara 158,Web,Normal,2025,Enero,9.0,4.147295919696933,4.852704080303067
Gaseosas Pukara 158,Web,Día del Padre,2025,Junio,0.0,2.2045637267459828,2.2045637267459828
Gaseosas Pukara 158,Web,Normal,2025,Septiembre,0.0,4.119462262343458,4.119462262343458
Gaseosas Pukara 158,Web,Cyber Wow Julio,2025,Julio,3.0,1.506992965630645,1.493007034369355
Gaseosas Pukara 158,Web,Normal,2025,Noviembre,2.0,2.7246558787407635,0.7246558787407635
Gaseosas Pukara 158,Web,Cyber Wow Noviembre,2025,Noviembre,0.0,1.3225710491189722,1.3225710491189722
Gaseosas Pukara 158,Web,Campaña Escolar,2025,Marzo,1.0,1.5869253198813487,0.5869253198813487
Gaseosas Pukara 158,Web,Normal,2025,Octubre,8.0,4.446785577354557,3.5532144226454427
Gaseosas Pukara 158,Web,Black Friday,2025,Noviembre,3.0,1.8610822210836964,1.1389177789163036
Gaseosas Pukara 158,App,Normal,2025,Junio,0.0,1.3733870517706135,1.3733870517706135
Gaseosas Pukara 158,App,Normal,2025,Abril,0.0,2.268349227489843,2.268349227489843
Gaseosas Pukara 158,App,Campaña Escolar,2025,Febrero,0.0,1.6636622258344662,1.6636622258344662
Gaseosas Pukara 158,App,Navidad,2025,Diciembre,37.0,34.94686316490989,2.0531368350901076
Gaseosas Pukara 158,App,Normal,2025,Mayo,6.0,1.879793721996127,4.120206278003873
Gaseosas Pukara 158,App,Día de la Madre,2025,Mayo,3.0,1.1887588406594303,1.8112411593405697
Gaseosas Pukara 158,App,Cyber Wow Abril,2025,Abril,0.0,0.7085184697623461,0.7085184697623461
Gaseosas Pukara 158,App,Normal,2025,Agosto,5.0,3.6460054279302585,1.3539945720697415
Gaseosas Pukara 158,App,Fiestas Patrias,2025,Julio,23.0,18.346668415297856,4.653331584702144
Gaseosas Pukara 158,App,Normal,2025,Enero,8.0,2.374822274387145,5.625177725612855
Gaseosas Pukara 158,App,Día del Padre,2025,Junio,10.0,1.1251507464552735,8.874849253544726
Gaseosas Pukara 158,App,Normal,2025,Septiembre,12.0,2.358808881158436,9.641191118841565
Gaseosas Pukara 158,App,Cyber Wow Julio,2025,Julio,0.0,1.354833916130412,1.354833916130412
Gaseosas Pukara 158,App,Normal,2025,Noviembre,6.0,2.5025288718423413,3.4974711281576587
Gaseosas Pukara 158,App,Cyber Wow Noviembre,2025,Noviembre,0.0,1.1330122379233307,1.1330122379233307
Gaseosas Pukara 158,App,Campaña Escolar,2025,Marzo,1.0,1.6837403038860834,0.6837403038860834
Gaseosas Pukara 158,App,Normal,2025,Octubre,7.0,2.2890341832538597,4.710965816746141
Gaseosas Pukara 158,App,Black Friday,2025,Noviembre,0.0,1.7208423819429928,1.7208423819429928
Gaseosas Pukara 158,Tienda,Normal,2025,Junio,8.0,5.562373907145933,2.4376260928540674
Gaseosas Pukara 158,Tienda,Normal,2025,Abril,5.0,9.412535243003454,4.412535243003454
Gaseosas Pukara 158,Tienda,Campaña Escolar,2025,Febrero,0.0,5.587675726284896,5.587675726284896
Gaseosas Pukara 158,Tienda,Navidad,2025,Diciembre,54.0,72.44047474178937,18.440474741789373
Gaseosas Pukara 158,Tienda,Normal,2025,Mayo,4.0,7.8855238332410496,3.8855238332410496
Gaseosas Pukara 158,Tienda,Día de la Madre,2025,Mayo,5.0,3.3053311529875424,1.6946688470124576
Gaseosas Pukara 158,Tienda,Cyber Wow Abril,2025,Abril,0.0,0.7414889141602178,0.7414889141602178
Gaseosas Pukara 158,Tienda,Normal,2025,Agosto,2.0,6.670058291886436,4.670058291886436
Gaseosas Pukara 158,Tienda,Fiestas Patrias,2025,Julio,34.0,45.51948497933383,11.519484979333832
Gaseosas Pukara 158,Tienda,Normal,2025,Enero,7.0,10.25511313193509,3.25511313193509
Gaseosas Pukara 158,Tienda,Día del Padre,2025,Junio,8.0,3.848455874932697,4.1515441250673035
Gaseosas Pukara 158,Tienda,Normal,2025,Septiembre,1.0,6.6816952515467305,5.6816952515467305
Gaseosas Pukara 158,Tienda,Cyber Wow Julio,2025,Julio,0.0,1.0687655876968516,1.0687655876968516
Gaseosas Pukara 158,Tienda,Normal,2025,Noviembre,6.0,7.863996198915556,1.8639961989155562
Gaseosas Pukara 158,Tienda,Cyber Wow Noviembre,2025,Noviembre,4.0,1.0506877220347688,2.949312277965231
Gaseosas Pukara 158,Tienda,Campaña Escolar,2025,Marzo,3.0,4.085786135574087,1.0857861355740868
Gaseosas Pukara 158,Tienda,Normal,2025,Octubre,9.0,6.892365492881843,2.1076345071181573
Gaseosas Pukara 158,Tienda,Black Friday,2025,Noviembre,7.0,1.4858927776437891,5.514107222356211
Bloqueador Solar Ayni 813,Web,Normal,2025,Junio,3.0,2.1579965482297214,0.8420034517702786
Bloqueador Solar Ayni 813,Web,Normal,2025,Abril,1.0,2.8092216802558876,1.8092216802558876
Bloqueador Solar Ayni 813,Web,Campaña Escolar,2025,Febrero,0.0,2.0922746121591946,2.0922746121591946
Bloqueador Solar Ayni 813,Web,Navidad,2025,Diciembre,1.0,7.191233160817877,6.191233160817877
Bloqueador Solar Ayni 813,Web,Normal,2025,Mayo,4.0,2.2244325247518315,1.7755674752481685
Bloqueador Solar Ayni 813,Web,Día de la Madre,2025,Mayo,10.0,5.667920984860096,4.332079015139904
Bloqueador Solar Ayni 813,Web,Cyber Wow Abril,2025,Abril,0.0,3.354619374934799,3.354619374934799
Bloqueador Solar Ayni 813,Web,Normal,2025,Agosto,0.0,3.188800234421946,3.188800234421946
Bloqueador Solar Ayni 813,Web,Fiestas Patrias,2025,Julio,8.0,3.4543070867052266,4.545692913294774
Bloqueador Solar Ayni 813,Web,Normal,2025,Enero,2.0,2.921455287696738,0.9214552876967379
Bloqueador Solar Ayni 813,Web,Día del Padre,2025,Junio,1.0,1.4512325914357007,0.4512325914357007
Bloqueador Solar Ayni 813,Web,Normal,2025,Septiembre,3.0,3.0781780120158273,0.0781780120158273
Bloqueador Solar Ayni 813,Web,Cyber Wow Julio,2025,Julio,0.0,1.2864797463112878,1.2864797463112878
Bloqueador Solar Ayni 813,Web,Normal,2025,Noviembre,0.0,2.7176532032480054,2.7176532032480054
Bloqueador Solar Ayni 813,Web,Cyber Wow Noviembre,2025,Noviembre,1.0,2.106271133461411,1.1062711334614108
Bloqueador Solar Ayni 813,Web,Campaña Escolar,2025,Marzo,10.0,2.308498484905134,7.691501515094866
Bloqueador Solar Ayni 813,Web,Normal,2025,Octubre,4.0,4.311734038773719,0.31173403877371886
Bloqueador Solar Ayni 813,Web,Black Friday,2025,Noviembre,6.0,2.9327022510966536,3.0672977489033464
Bloqueador Solar Ayni 813,App,Normal,2025,Junio,0.0,1.3330588058132227,1.3330588058132227
Bloqueador Solar Ayni 813,App,Normal,2025,Abril,0.0,1.339491329941668,1.339491329941668
Bloqueador Solar Ayni 813,App,Campaña Escolar,2025,Febrero,0.0,1.0804927913672753,1.0804927913672753
Bloqueador Solar Ayni 813,App,Navidad,2025,Diciembre,8.0,6.399955686595317,1.6000443134046831
Bloqueador Solar Ayni 813,App,Normal,2025,Mayo,0.0,1.1786414615865892,1.1786414615865892
Bloqueador Solar Ayni 813,App,Día de la Madre,2025,Mayo,9.0,5.479288604687422,3.5207113953125777
Bloqueador Solar Ayni 813,App,Cyber Wow Abril,2025,Abril,0.0,0.92667964471345,0.92667964471345
Bloqueador Solar Ayni 813,App,Normal,2025,Agosto,14.0,1.5076029466447212,12.49239705335528
Bloqueador Solar Ayni 813,App,Fiestas Patrias,2025,Julio,11.0,1.410813098831493,9.589186901168507
Bloqueador Solar Ayni 813,App,Normal,2025,Enero,0.0,1.2911318364373792,1.2911318364373792
Bloqueador Solar Ayni 813,App,Día del Padre,2025,Junio,5.0,0.7234362274978037,4.276563772502197
Bloqueador Solar Ayni 813,App,Normal,2025,Septiembre,2.0,1.4466567830953818,0.5533432169046182
Bloqueador Solar Ayni 813,App,Cyber Wow Julio,2025,Julio,0.0,2.382214145059716,2.382214145059716
Bloqueador Solar Ayni 813,App,Normal,2025,Noviembre,0.0,1.2327646679455178,1.2327646679455178
Bloqueador Solar Ayni 813,App,Cyber Wow Noviembre,2025,Noviembre,0.0,0.9672828954167039,0.9672828954167039
Bloqueador Solar Ayni 813,App,Campaña Escolar,2025,Marzo,0.0,1.0759828296494662,1.0759828296494662
Bloqueador Solar Ayni 813,App,Normal,2025,Octubre,3.0,1.8077744375392009,1.1922255624607991
Bloqueador Solar Ayni 813,App,Black Friday,2025,Noviembre,1.0,2.020044726328543,1.020044726328543
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Junio,0.0,3.9083516246106376,3.9083516246106376
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Abril,6.0,4.171097754327963,1.8289022456720367
Bloqueador Solar Ayni 813,Tienda,Campaña Escolar,2025,Febrero,0.0,5.249233065552121,5.249233065552121
Bloqueador Solar Ayni 813,Tienda,Navidad,2025,Diciembre,21.0,14.118479981438426,6.881520018561574
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Mayo,5.0,4.178206378034205,0.8217936219657949
Bloqueador Solar Ayni 813,Tienda,Día de la Madre,2025,Mayo,50.0,20.68509148075006,29.31490851924994
Bloqueador Solar Ayni 813,Tienda,Cyber Wow Abril,2025,Abril,0.0,0.6274656657278755,0.6274656657278755
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Agosto,9.0,4.2797121106770835,4.7202878893229165
Bloqueador Solar Ayni 813,Tienda,Fiestas Patrias,2025,Julio,5.0,6.2161295840171,1.2161295840171
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Enero,4.0,4.4553435237529,0.45534352375289977
Bloqueador Solar Ayni 813,Tienda,Día del Padre,2025,Junio,0.0,3.0975939755289517,3.0975939755289517
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Septiembre,2.0,5.226609112169338,3.2266091121693377
Bloqueador Solar Ayni 813,Tienda,Cyber Wow Julio,2025,Julio,1.0,1.5115403912016196,0.5115403912016196
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Noviembre,2.0,4.535192204123058,2.5351922041230583
Bloqueador Solar Ayni 813,Tienda,Cyber Wow Noviembre,2025,Noviembre,0.0,1.179980712104706,1.179980712104706
Bloqueador Solar Ayni 813,Tienda,Campaña Escolar,2025,Marzo,3.0,5.634390606150687,2.6343906061506868
Bloqueador Solar Ayni 813,Tienda,Normal,2025,Octubre,0.0,5.014285166440021,5.014285166440021
Bloqueador Solar Ayni 813,Tienda,Black Friday,2025,Noviembre,0.0,1.8106618998532433,1.8106618998532433
Juguetes Educativos Sumaq 998,Web,Normal,2025,Junio,0.0,2.017971651601197,2.017971651601197
Juguetes Educativos Sumaq 998,Web,Normal,2025,Abril,0.0,2.235725381169421,2.235725381169421
Juguetes Educativos Sumaq 998,Web,Campaña Escolar,2025,Febrero,3.0,1.9558504735445172,1.0441495264554828
Juguetes Educativos Sumaq 998,Web,Navidad,2025,Diciembre,100.0,103.61866183012042,3.6186618301204163
Juguetes Educativos Sumaq 998,Web,Normal,2025,Mayo,2.0,1.9356473949877882,0.06435260501221185
Juguetes Educativos Sumaq 998,Web,Día de la Madre,2025,Mayo,0.0,0.5673035055448382,0.5673035055448382
Juguetes Educativos Sumaq 998,Web,Cyber Wow Abril,2025,Abril,1.0,0.8379271366034134,0.16207286339658655
Juguetes Educativos Sumaq 998,Web,Normal,2025,Agosto,1.0,2.380089826590282,1.380089826590282
Juguetes Educativos Sumaq 998,Web,Fiestas Patrias,2025,Julio,0.0,3.043319586559573,3.043319586559573
Juguetes Educativos Sumaq 998,Web,Normal,2025,Enero,18.0,2.6337240708658247,15.366275929134176
Juguetes Educativos Sumaq 998,Web,Día del Padre,2025,Junio,1.0,0.7798331949040729,0.22016680509592712
Juguetes Educativos Sumaq 998,Web,Normal,2025,Septiembre,4.0,2.011341893722402,1.9886581062775979
Juguetes Educativos Sumaq 998,Web,Cyber Wow Julio,2025,Julio,0.0,2.899504822182422,2.899504822182422
Juguetes Educativos Sumaq 998,Web,Normal,2025,Noviembre,0.0,1.8698672478870344,1.8698672478870344
Juguetes Educativos Sumaq 998,Web,Cyber Wow Noviembre,2025,Noviembre,3.0,1.0885102788438354,1.9114897211561646
Juguetes Educativos Sumaq 998,Web,Campaña Escolar,2025,Marzo,11.0,1.6559878368342082,9.344012163165791
Juguetes Educativos Sumaq 998,Web,Normal,2025,Octubre,0.0,2.140866478698046,2.140866478698046
Juguetes Educativos Sumaq 998,Web,Black Friday,2025,Noviembre,0.0,1.4995361861579197,1.4995361861579197
Juguetes Educativos Sumaq 998,App,Normal,2025,Junio,0.0,1.3436275843081262,1.3436275843081262
Juguetes Educativos Sumaq 998,App,Normal,2025,Abril,0.0,1.3901138100346844,1.3901138100346844
Juguetes Educativos Sumaq 998,App,Campaña Escolar,2025,Febrero,3.0,1.6241233988674457,1.3758766011325543
Juguetes Educativos Sumaq 998,App,Navidad,2025,Diciembre,44.0,50.58161388160443,6.581613881604433
Juguetes Educativos Sumaq 998,App,Normal,2025,Mayo,5.0,1.066383378964472,3.9336166210355277
Juguetes Educativos Sumaq 998,App,Día de la Madre,2025,Mayo,0.0,0.6513865746145545,0.6513865746145545
Juguetes Educativos Sumaq 998,App,Cyber Wow Abril,2025,Abril,0.0,0.8210552922757935,0.8210552922757935
Juguetes Educativos Sumaq 998,App,Normal,2025,Agosto,0.0,1.5011258716918052,1.5011258716918052
Juguetes Educativos Sumaq 998,App,Fiestas Patrias,2025,Julio,0.0,1.1965007390274354,1.1965007390274354
Juguetes Educativos Sumaq 998,App,Normal,2025,Enero,0.0,2.350493940140087,2.350493940140087
Juguetes Educativos Sumaq 998,App,Día del Padre,2025,Junio,2.0,0.6931623348174639,1.306837665182536
Juguetes Educativos Sumaq 998,App,Normal,2025,Septiembre,5.0,1.4490463663611717,3.5509536336388283
Juguetes Educativos Sumaq 998,App,Cyber Wow Julio,2025,Julio,4.0,0.857244222810969,3.142755777189031
Juguetes Educativos Sumaq 998,App,Normal,2025,Noviembre,0.0,1.3768230588818307,1.3768230588818307
Juguetes Educativos Sumaq 998,App,Cyber Wow Noviembre,2025,Noviembre,0.0,1.7625054235265025,1.7625054235265025
Juguetes Educativos Sumaq 998,App,Campaña Escolar,2025,Marzo,1.0,1.2083616333900387,0.20836163339003866
Juguetes Educativos Sumaq 998,App,Normal,2025,Octubre,0.0,1.4252267094502917,1.4252267094502917
Juguetes Educativos Sumaq 998,App,Black Friday,2025,Noviembre,0.0,2.7486511943117558,2.7486511943117558
Juguetes Educativos Sumaq 998,Tienda,Normal,2025,Junio,3.0,2.5861965509229186,0.41380344907708144
Juguetes Educativos Sumaq 998,Tienda,Normal,2025,Abril,11.0,4.246886860528067,6.753113139471933
Juguetes Educativos Sumaq 998,Tienda,Campaña Escolar,2025,Febrero,2.0,4.806563532589681,2.8065635325896814
Juguetes Educativos Sumaq 998,Tienda,Navidad,2025,Diciembre,117.0,134.72471228969766,17.724712289697663
Juguetes Educativos Sumaq 998,Tienda,Normal,2025,Mayo,0.0,4.829619167605435,4.829619167605435
Juguetes Educativos Sumaq 998,Tienda,Día de la Madre,2025,Mayo,0.0,0.38041959617739,0.38041959617739
Juguetes Educativos Sumaq 998,Tienda,Cyber Wow Abril,2025,Abril,0.0,0.6171869641991116,0.6171869641991116
