id_producto,id_tienda,Q,E,U,h
975,2,0.0,52.166667,0.0,0.09
992,7,0.0,10.166667,0.0,3.86
991,11,0.0,55.916667,0.0,0.22
991,3,0.0,51.916667,0.0,0.17
984,1,0.0,54.666667,0.0,0.09
985,11,0.0,11.333333,0.0,2.02
979,3,0.0,47.833333,0.0,0.06
992,4,0.0,16.166667,0.0,1.52
984,12,0.0,57.666667,0.0,0.08
975,1,0.0,56.166667,0.0,0.12
984,7,0.0,71.666667,0.0,0.15
992,12,0.0,20.166667,0.0,1.67
979,12,0.0,56.833333,0.0,0.04
992,5,0.0,15.166667,0.0,1.85
979,9,0.0,64.833333,0.0,0.05
985,7,0.0,8.3333333,0.0,3.46
984,6,0.0,126.66667,0.0,0.15
991,4,0.0,52.916667,0.0,0.17
991,10,0.0,51.916667,0.0,0.18
975,4,0.0,57.166667,0.0,0.12
991,5,0.0,34.916667,0.0,0.18
979,7,0.0,55.833333,0.0,0.11
975,12,0.0,35.166667,0.0,0.1
992,6,0.0,29.166667,0.0,3.9
985,12,0.0,31.333333,0.0,1.71
975,7,0.0,44.166667,0.0,0.21
985,6,0.0,10.333333,0.0,2.93
979,4,0.0,112.83333,0.0,0.05
979,2,0.0,57.833333,0.0,0.05
991,7,0.0,47.916667,0.0,0.37
992,10,0.0,11.166667,0.0,1.52
985,10,0.0,17.333333,0.0,2.17
992,2,0.0,10.166667,0.0,1.77
984,11,0.0,115.66667,0.0,0.1
991,12,0.0,76.916667,0.0,0.23
975,8,0.0,58.166667,0.0,0.12
985,4,0.0,14.333333,0.0,1.5
985,9,0.0,13.333333,0.0,1.61
979,8,0.0,49.833333,0.0,0.05
992,9,0.0,12.166667,0.0,2.0
991,8,0.0,47.916667,0.0,0.18
992,1,0.0,12.166667,0.0,2.14
991,1,0.0,33.916667,0.0,0.23
975,5,0.0,57.166667,0.0,0.09
975,3,0.0,111.16667,0.0,0.1
984,4,0.0,102.66667,0.0,0.1
985,3,0.0,9.3333333,0.0,2.0
979,11,0.0,78.833333,0.0,0.04
984,5,0.0,141.66667,0.0,0.09
984,2,0.0,69.666667,0.0,0.09
984,10,0.0,53.666667,0.0,0.08
984,9,0.0,143.66667,0.0,0.09
985,2,0.0,11.333333,0.0,1.7
979,10,0.0,96.833333,0.0,0.06
984,8,0.0,81.666667,0.0,0.1
992,3,0.0,17.166667,0.0,1.67
991,6,0.0,46.916667,0.0,0.32
979,1,0.0,78.833333,0.0,0.05
985,5,0.0,12.333333,0.0,1.77
975,9,0.0,142.16667,0.0,0.12
991,9,0.0,44.916667,0.0,0.24
975,6,0.0,45.166667,0.0,0.17
975,11,0.0,50.166667,0.0,0.12
985,8,0.0,19.333333,0.0,2.17
992,11,0.0,10.166667,0.0,1.98
975,10,0.0,53.166667,0.0,0.09
979,5,0.0,63.833333,0.0,0.05
984,3,0.0,130.66667,0.0,0.08
979,6,0.0,54.833333,0.0,0.1
992,8,0.0,21.166667,0.0,2.0
991,2,0.0,46.916667,0.0,0.19
