penalty,budget,purchase,holding,unmet,total_cost
1,1000,0.0,40768.021729098,0.0,40768.021729098
1,3000,0.0,40768.021729098,0.0,40768.021729098
1,5000,0.0,40768.021729098,0.0,40768.021729098
1,10000,0.0,40768.021729098,0.0,40768.021729098
5,1000,0.0,40768.021729098,0.0,40768.021729098
5,3000,0.0,40768.021729098,0.0,40768.021729098
5,5000,0.0,40768.021729098,0.0,40768.021729098
5,10000,0.0,40768.021729098,0.0,40768.021729098
10,1000,0.0,40768.021729098,0.0,40768.021729098
10,3000,0.0,40768.021729098,0.0,40768.021729098
10,5000,0.0,40768.021729098,0.0,40768.021729098
10,10000,0.0,40768.021729098,0.0,40768.021729098
20,1000,0.0,40768.021729098,0.0,40768.021729098
20,3000,0.0,40768.021729098,0.0,40768.021729098
20,5000,0.0,40768.021729098,0.0,40768.021729098
20,10000,0.0,40768.021729098,0.0,40768.021729098
50,1000,0.0,40768.021729098,0.0,40768.021729098
50,3000,0.0,40768.021729098,0.0,40768.021729098
50,5000,0.0,40768.021729098,0.0,40768.021729098
50,10000,0.0,40768.021729098,0.0,40768.021729098
