id_producto,id_tienda,periodo,stock_inicial,unidades_vendidas,reabastecimiento,stock_final,costo_almacenamiento_unitario,costo_almacenamiento_total
1,1,2023-01,139,0,0,139,0.05,6.95
1,1,2023-02,139,0,0,139,0.05,6.95
1,1,2023-03,139,3,0,136,0.06,8.16
1,1,2023-04,136,0,0,136,0.04,5.44
1,1,2023-05,136,0,0,136,0.06,8.16
1,1,2023-06,136,0,0,136,0.06,8.16
1,1,2023-07,136,3,0,133,0.06,7.98
1,1,2023-08,133,1,0,132,0.06,7.92
1,1,2023-09,132,4,0,128,0.04,5.12
1,1,2023-10,128,2,0,126,0.05,6.3
1,1,2023-11,126,3,0,123,0.06,7.38
1,1,2023-12,123,3,0,120,0.04,4.8
1,1,2024-01,120,0,0,120,0.05,6.0
1,1,2024-02,120,0,0,120,0.06,7.2
1,1,2024-03,120,0,0,120,0.06,7.2
1,1,2024-04,120,0,0,120,0.05,6.0
1,1,2024-05,120,0,0,120,0.04,4.8
1,1,2024-06,120,1,0,119,0.05,5.95
1,1,2024-07,119,3,0,116,0.04,4.64
1,1,2024-08,116,0,0,116,0.05,5.8
1,1,2024-09,116,0,0,116,0.05,5.8
1,1,2024-10,116,0,0,116,0.05,5.8
1,1,2024-11,116,1,0,115,0.06,6.9
1,1,2024-12,115,20,0,95,0.05,4.75
1,1,2025-01,95,0,0,95,0.05,4.75
1,1,2025-02,95,0,0,95,0.06,5.7
1,1,2025-03,95,0,0,95,0.06,5.7
1,1,2025-04,95,0,0,95,0.05,4.75
1,1,2025-05,95,3,0,92,0.05,4.6
1,1,2025-06,92,0,0,92,0.05,4.6
1,1,2025-07,92,8,0,84,0.06,5.04
1,1,2025-08,84,2,0,82,0.06,4.92
1,1,2025-09,82,1,0,81,0.06,4.86
1,1,2025-10,81,1,0,80,0.05,4.0
1,1,2025-11,80,0,0,80,0.06,4.8
1,1,2025-12,80,0,0,80,0.05,4.0
1,2,2023-01,133,0,0,133,0.05,6.65
1,2,2023-02,133,3,0,130,0.04,5.2
1,2,2023-03,130,0,0,130,0.06,7.8
1,2,2023-04,130,4,0,126,0.06,7.56
1,2,2023-05,126,6,0,120,0.05,6.0
1,2,2023-06,120,0,0,120,0.05,6.0
1,2,2023-07,120,9,0,111,0.04,4.44
1,2,2023-08,111,0,0,111,0.05,5.55
1,2,2023-09,111,0,0,111,0.05,5.55
1,2,2023-10,111,0,0,111,0.05,5.55
1,2,2023-11,111,3,0,108,0.05,5.4
1,2,2023-12,108,5,0,103,0.05,5.15
1,2,2024-01,103,9,0,94,0.06,5.64
1,2,2024-02,94,2,0,92,0.04,3.68
1,2,2024-03,92,0,0,92,0.06,5.52
1,2,2024-04,92,0,0,92,0.06,5.52
1,2,2024-05,92,0,0,92,0.05,4.6
1,2,2024-06,92,0,0,92,0.04,3.68
1,2,2024-07,92,7,0,85,0.06,5.1
1,2,2024-08,85,0,0,85,0.06,5.1
1,2,2024-09,85,0,0,85,0.05,4.25
1,2,2024-10,85,0,0,85,0.05,4.25
1,2,2024-11,85,0,0,85,0.05,4.25
1,2,2024-12,85,18,0,67,0.05,3.35
1,2,2025-01,67,0,0,67,0.06,4.02
1,2,2025-02,67,0,0,67,0.05,3.35
1,2,2025-03,67,0,0,67,0.04,2.68
1,2,2025-04,67,0,0,67,0.04,2.68
1,2,2025-05,67,1,0,66,0.06,3.96
1,2,2025-06,66,0,0,66,0.05,3.3
1,2,2025-07,66,1,0,65,0.05,3.25
1,2,2025-08,65,0,0,65,0.05,3.25
1,2,2025-09,65,0,0,65,0.06,3.9
1,2,2025-10,65,2,0,63,0.06,3.78
1,2,2025-11,63,4,0,59,0.06,3.54
1,2,2025-12,59,8,7,58,0.06,3.48
1,3,2023-01,109,1,0,108,0.06,6.48
1,3,2023-02,108,0,0,108,0.06,6.48
1,3,2023-03,108,2,0,106,0.06,6.36
1,3,2023-04,106,0,0,106,0.05,5.3
1,3,2023-05,106,2,0,104,0.05,5.2
1,3,2023-06,104,0,0,104,0.05,5.2
1,3,2023-07,104,2,0,102,0.06,6.12
1,3,2023-08,102,1,0,101,0.05,5.05
1,3,2023-09,101,0,0,101,0.05,5.05
1,3,2023-10,101,0,0,101,0.05,5.05
1,3,2023-11,101,2,0,99,0.05,4.95
1,3,2023-12,99,11,0,88,0.06,5.28
1,3,2024-01,88,5,0,83,0.05,4.15
1,3,2024-02,83,0,0,83,0.05,4.15
1,3,2024-03,83,0,0,83,0.06,4.98
1,3,2024-04,83,0,0,83,0.05,4.15
1,3,2024-05,83,0,0,83,0.06,4.98
