id_ticket,fecha,id_cliente,id_tienda,canal,metodo_pago,campaña,es_campaña,tipo_campaña,cantidad_lineas,unidades_totales,monto_ticket,descuento_promedio_ticket,margen_ticket
T000001,2025-06-30,11370,12,Web,Tarjeta Crédito,Normal,0,Regular,1,1,1475.37,0.0729,391.12
T000002,2025-04-11,2174,12,App,Yape,Normal,0,Regular,3,6,922.7,0.0697,249.85
T000003,2024-05-27,7378,12,App,Plin,Normal,0,Regular,1,2,926.3,0.088,292.82
T000004,2024-03-06,10809,7,Tienda,Efectivo,Campaña Escolar,1,Escolar,2,2,151.84,0.0587,38.79
T000005,2023-12-28,10389,6,Tienda,Efectivo,Navidad,1,Festiva,2,6,15669.14,0.082,2662.62
T000006,2024-12-18,13750,10,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,3,6016.84,0.1247,1306.51
T000007,2025-02-20,2514,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,10,7548.95,0.0753,2212.89
T000008,2025-02-08,11942,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,1,1,2926.47,0.0947,439.07
T000009,2023-05-04,4727,4,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,1,1,700.88,0.0537,154.73
T000010,2025-12-25,5838,12,App,Yape,Navidad,1,Festiva,2,13,2557.31,0.1254,488.22
T000011,2025-05-15,3189,2,Tienda,Tarjeta Crédito,Normal,0,Regular,3,6,1034.1,0.0356,220.45
T000012,2024-05-12,14771,12,Web,Tarjeta Crédito,Día de la Madre,1,Familiar,3,7,1692.26,0.089,374.3
T000013,2024-11-03,10259,12,Web,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,2,3,6132.02,0.174,1126.94
T000014,2025-05-13,8694,3,Tienda,Plin,Día de la Madre,1,Familiar,2,2,2587.01,0.1272,408.18
T000015,2025-04-20,12206,12,Web,Yape,Cyber Wow Abril,1,Digital,2,5,1025.66,0.1688,168.8
T000016,2025-05-26,3198,12,App,Plin,Normal,0,Regular,3,9,13513.05,0.0752,3304.13
T000017,2023-12-30,13379,7,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,16,742.18,0.1292,127.05
T000018,2025-02-14,6854,6,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,2,4,1280.47,0.0659,239.07
T000019,2025-08-22,12150,12,App,Yape,Normal,0,Regular,2,4,845.91,0.1161,95.63
T000020,2025-12-31,6298,12,Web,Tarjeta Débito,Navidad,1,Festiva,2,5,99.67,0.0784,21.19
T000021,2024-07-16,1045,12,Web,Tarjeta Débito,Cyber Wow Julio,1,Digital,2,4,573.87,0.241,14.12
T000022,2025-12-20,2690,12,App,Yape,Navidad,1,Festiva,4,7,2266.76,0.1332,551.58
T000023,2024-12-19,7462,8,Tienda,Tarjeta Débito,Navidad,1,Festiva,1,6,193.3,0.1011,46.9
T000024,2025-07-27,9040,12,App,Yape,Fiestas Patrias,1,Festiva,3,14,1685.56,0.1239,413.12
T000025,2025-02-05,6513,12,App,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,23,8575.33,0.105,2089.96
T000026,2025-01-10,2366,12,Web,Tarjeta Crédito,Normal,0,Regular,3,8,5242.75,0.105,846.56
T000027,2023-12-22,10729,12,Web,Tarjeta Crédito,Navidad,1,Festiva,2,5,994.6,0.0865,126.47
T000028,2024-12-22,11941,6,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,8,15475.91,0.1372,1205.01
